,code,room,start_time,end_time,date,day_of_week
0,PEA3389,A1-22,07:30,10:50,2023-08-17,qui
1,PEA3393,B2-10,07:30,10:50,2023-08-17,qui
2,PSI3465,C1-05,07:30,10:50,2023-08-17,qui
3,PEA3294,D1-01,07:30,09:00,2023-08-17,qui
4,4323102?,D1-03,07:30,09:00,2023-08-17,qui
5,PSI3432,GD-04,07:30,09:00,2023-08-17,qui
6,Defesa Qualificação Mestrado Fernando,C1-05,08:00,12:50,2023-08-17,qui
7,PCS3568/3868,B2-06,08:20,11:50,2023-08-17,qui
8,PTC2020,B2-09,08:20,09:50,2023-08-17,qui
9,0323100,D1-01,08:20,10:50,2023-08-17,qui
10,PTC3470,A2-44,09:20,10:50,2023-08-17,qui
11,PTC3441,B2-04,09:20,10:50,2023-08-17,qui
12,PEA3290,B2-08,09:20,10:50,2023-08-17,qui
13,PTC3213,B2-12,09:20,10:50,2023-08-17,qui
14,PTC3213,C1-05,09:20,10:50,2023-08-17,qui
15,4323102?,C1-30,09:20,10:50,2023-08-17,qui
16,PTC3213,C1-49,09:20,10:50,2023-08-17,qui
17,PSI3452,CAEEL (Reunião),09:20,12:40,2023-08-17,qui
18,PRO3816,B2-05,10:20,11:50,2023-08-17,qui
19,PTC3565,B2-01,11:10,12:40,2023-08-17,qui
20,PTC3420,B2-03,11:10,12:40,2023-08-17,qui
21,PTC3569,B2-08,11:10,12:40,2023-08-17,qui
22,PTC3360,C1-49,11:10,12:40,2023-08-17,qui
23,PTC3360,CAEEL (Defesa),11:10,12:40,2023-08-17,qui
24,PTC3360,D1-01,11:10,12:40,2023-08-17,qui
25,PSI3572,B2-05,13:10,14:40,2023-08-17,qui
26,4323102?,D1-03,13:10,14:40,2023-08-17,qui
27,PEA3389,A1-22,14:00,17:20,2023-08-17,qui
28,PCS3424,B2-06,14:00,15:30,2023-08-17,qui
29,PSI5740,B2-08,14:00,16:50,2023-08-17,qui
30,PCS3589/3889,B2-10,14:00,17:30,2023-08-17,qui
31,PSI3483,D1-04,14:00,15:30,2023-08-17,qui
32,PEA3440,B2-06,15:00,16:30,2023-08-17,qui
33,PTC3451,A2-44,15:50,17:20,2023-08-17,qui
34,PEA3550,B2-03,16:40,18:20,2023-08-17,qui
35,PSI3542,D1-03,16:50,18:20,2023-08-17,qui
36,Platão de Dúvidas - PTC3213,A2-44,17:00,17:50,2023-08-17,qui
37,PEA 5831,B2-09,18:00,20:00,2023-08-17,qui
